"Effect_Size","Sample_Size","Simulation","MeLSI_F","MeLSI_p","MeLSI_significant","Euclidean_F","Euclidean_p","Euclidean_significant","BrayCurtis_F","BrayCurtis_p","BrayCurtis_significant","Jaccard_F","Jaccard_p","Jaccard_significant","WeightedUniFrac_F","WeightedUniFrac_p","WeightedUniFrac_significant","UnweightedUniFrac_F","UnweightedUniFrac_p","UnweightedUniFrac_significant","Best_Traditional","Best_Traditional_F"
"Small",50,1,1.35297311625365,0.119402985074627,FALSE,1.13335250187332,0.104,FALSE,1.07236200467577,0.263,FALSE,1.11969809361491,0.222,FALSE,1.06516553871474,0.329,FALSE,1.06559642674471,0.34,FALSE,"Euclidean",1.13335250187332
"Small",50,2,1.04668472066168,0.955223880597015,FALSE,0.817892126483383,0.97,FALSE,0.930093108873979,0.749,FALSE,0.645121608861171,0.983,FALSE,1.12462358213153,0.241,FALSE,0.7051558059505,0.941,FALSE,"WeightedUniFrac",1.12462358213153
"Small",50,12,1.35719234063363,0.0945273631840796,FALSE,1.1569365665068,0.068,FALSE,1.12074644302304,0.151,FALSE,0.962014478154105,0.58,FALSE,0.932765373424732,0.554,FALSE,0.838045226290856,0.798,FALSE,"Euclidean",1.1569365665068
"Medium",50,12,1.49984006759682,0.0149253731343284,TRUE,1.26958884181041,0.006,TRUE,1.55329551411999,0.001,TRUE,1.07581075521908,0.304,FALSE,2.13277560215823,0.003,TRUE,1.24291480579661,0.132,FALSE,"WeightedUniFrac",2.13277560215823
"Large",50,12,1.63297226069465,0.00497512437810945,TRUE,1.44152354541507,0.001,TRUE,2.76124672983576,0.001,TRUE,0.723614007842475,0.943,FALSE,2.85373326778526,0.001,TRUE,0.755141226746803,0.885,FALSE,"WeightedUniFrac",2.85373326778526
"Small",100,12,1.42663773405194,0.129353233830846,FALSE,1.1150013808088,0.114,FALSE,1.0569954129628,0.302,FALSE,0.971466287879067,0.573,FALSE,0.994868530498717,0.47,FALSE,0.872965457149665,0.732,FALSE,"Euclidean",1.1150013808088
"Medium",100,12,1.57660312822745,0.0248756218905473,TRUE,1.3195906773351,0.002,TRUE,1.96105044427767,0.001,TRUE,1.18422585491804,0.147,FALSE,2.61331672366192,0.001,TRUE,1.07796501604656,0.342,FALSE,"WeightedUniFrac",2.61331672366192
"Large",100,12,2.21944291484939,0.00497512437810945,TRUE,2.14605600715739,0.001,TRUE,5.04424563385292,0.001,TRUE,1.07952045873418,0.331,FALSE,4.85773921721522,0.001,TRUE,0.908105940857496,0.647,FALSE,"BrayCurtis",5.04424563385292
"Small",200,12,1.42928248570676,0.27363184079602,FALSE,1.06081228553833,0.25,FALSE,1.307867203221,0.004,TRUE,0.671945285249036,0.975,FALSE,0.970655934509824,0.532,FALSE,0.660459635365701,0.964,FALSE,"BrayCurtis",1.307867203221
"Medium",200,12,1.79178244650341,0.00497512437810945,TRUE,1.39987977779681,0.001,TRUE,2.11866410530821,0.001,TRUE,0.940446713575306,0.64,FALSE,2.14592239659559,0.001,TRUE,0.998795323605415,0.482,FALSE,"WeightedUniFrac",2.14592239659559
